"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.1",34,1.193,0.0395,1,2.5884,0.0191,"115",0.0157,0.0034,0.0013,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.11",41,0.1623,0.0483,1,2.4345,0.0264,"313",0.0209,0.0055,0.0023,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.2",34,1.2021,0.0431,1,2.7174,0.0215,"116",0.0158,0.0057,0.0021,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.10",41,0.2228,0.0404,1,2.3297,0.0234,"312",0.0202,0.0032,0.0014,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.9",41,0.2003,0.0602,1,2.5654,0.0375,"311",0.0284,0.0091,0.0035,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.4",38,1.3433,0.0404,1,2.4093,0.0197,"256",0.0166,0.0032,0.0013,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.7",41,0.1562,0.0404,1,2.5011,0.0211,"309",0.0161,0.0049,0.002,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.5",38,1.2279,0.043,1,2.6265,0.0229,"257",0.0199,0.003,0.0011,4,TRUE,"B4",40
"2.5R2",0.7194915,73.776958739,"2","2","5","2.5R2.6",40,1.1923,0.0464,1,2.6325,0.0261,"288",0.0222,0.0039,0.0015,4,TRUE,"B4",40
"2.7R2",0.5299685,46.4585063945,"2","2","7","2.7R2.5",42,1.1027,0.0373,1,2.3129,0.0208,"289",0.0173,0.0035,0.0015,5,TRUE,"B1",45
"2.7R2",0.5299685,46.4585063945,"2","2","7","2.7R2.2",40,0.1364,0.0293,1,2.4598,0.0159,"265",0.0133,0.0026,0.0011,5,TRUE,"B1",45
"2.7R2",0.5299685,46.4585063945,"2","2","7","2.7R2.3",41,1.156,0.0403,1,2.4647,0.0221,"281",0.0176,0.0045,0.0018,5,TRUE,"B1",45
"2.7R2",0.5299685,46.4585063945,"2","2","7","2.7R2.4",41,1.1492,0.0341,1,2.3363,0.0191,"282",0.0163,0.0028,0.0012,5,TRUE,"B1",45
"2.7R2",0.5299685,46.4585063945,"2","2","7","2.7R2.1",35,1.164,0.035,1,2.6551,0.0128,"89",0.0095,0.0033,0.0012,5,TRUE,"B1",45
